song_id,song_title,duration,size,track,album_id
1,2-30.mp3,60,1446,7,1
2,a_commotion.mp3,233,6904,5,2
3,alabama_blues.mp3,439,6865,2,3
4,alices_restaurant_massacree.mp3,1111,34731,1,4
5,all_the_young_dudes.mp3,232,9081,5,5
6,alligator_sky.mp3,195,6176,13,6
7,american_heart.mp3,230,9069,1,7
8,american_pie.mp3,512,20045,1,8
9,aqualung.mp3,397,11596,1,9
10,ashes_by_now.mp3,251,9851,7,10
11,ashes_by_now.mp3,252,9880,8,11
12,big_jet_plane_(radio_edit).mp3,223,8776,1,12
13,bird_song.mp3,213,3338,3,13
14,boogie_on_reggae_woman.mp3,314,10894,4,14
15,brazilian_stomp.mp3,339,10605,3,15
16,bring_me_home.mp3,365,11428,5,16
17,cest_la_mort.mp3,149,4094,3,17
18,chicken_on_a_raft.mp3,210,6583,6,18
19,dont_think_twice_its_all_right.mp3,301,11766,5,19
20,eagle_plume_dancer.mp3,145,2269,7,20
21,earth_and_sky.mp3,208,5984,3,21
22,everybodys_fool.mp3,197,7893,3,22
23,fake_tales_of_san_francisco.mp3,181,7271,1,23
24,fear.mp3,262,4101,3,24
25,fields_of_gold.mp3,214,8382,15,25
26,fire.mp3,206,6465,7,26
27,fortune_teller.mp3,207,4866,4,27
28,free_bird_live_[fox_theater].mp3,816,25506,12,28
29,french_letter.mp3,276,8646,3,29
30,got_the_love_-_2009.mp3,227,8874,12,30
31,great_southern_land.mp3,319,12468,1,31
32,hallelujah.mp3,211,8263,3,32
33,hard_travelin_hootenanny.mp3,210,6588,1,33
34,he_aha_ra_te_manu.mp3,143,4444,2,21
35,hineraukatauri_(goddess_of_music).mp3,294,9222,4,34
36,hopeless_wanderer.mp3,307,10236,9,35
37,how_do_you_plead.mp3,400,6251,7,3
38,how_sweet_can_you_get_2009.mp3,238,9330,9,36
39,if_i_ever_leave_this_world_alive.mp3,201,4722,4,37
40,ill_be_long_gone.mp3,356,11141,4,16
41,im_in_the_mood_for_dancing.mp3,179,5601,1,38
42,leave_a_light_on.mp3,256,4006,4,39
43,like_someone_in_love.mp3,142,3368,8,40
44,little_black_book.mp3,252,3951,10,39
45,lost_for_words.mp3,228,5366,9,41
46,maggie.mp3,221,6914,11,42
47,maggie.mp3,287,7862,14,43
48,marijuana.mp3,152,3575,14,44
49,marooned.mp3,329,10384,4,45
50,mary.mp3,233,9109,14,46
51,mary.mp3,244,3818,1,47
52,messages.mp3,242,5686,2,27
53,northern_lights.mp3,213,8359,5,48
54,now_theres_that_fear_again.mp3,236,5550,7,49
55,one_golden_rule.mp3,270,10569,5,50
56,one_slip.mp3,308,10086,4,51
57,parihaka.mp3,256,8028,9,29
58,radioactive.mp3,188,7414,1,52
59,river.mp3,192,7553,9,53
60,sarah_victoria.mp3,114,3692,2,54
61,shower_the_people.mp3,123,2906,9,55
62,shower_the_people.mp3,241,9426,11,11
63,silent_warrior.mp3,369,11546,5,56
64,simple_love.mp3,284,4444,2,57
65,slice_of_heaven.mp3,248,9693,1,58
66,slice_of_heaven.mp3,277,4347,10,59
67,slice_of_heaven.mp3,277,8667,11,60
68,slow_train.mp3,359,14107,4,61
69,spanish_train.mp3,302,11841,1,62
70,stay.mp3,162,2551,1,47
71,stay.mp3,204,7990,10,63
72,steal_your_heart_away.mp3,213,5011,13,64
73,sweet_baby_james.mp3,205,4015,5,55
74,sweet_baby_james.mp3,174,6818,4,11
75,tell_me.mp3,135,2884,14,65
76,fridays_child.mp3,243,7608,1,66
77,the_forest_awakes.mp3,292,11442,6,67
78,the_horses.mp3,292,9158,1,68
79,the_mother.mp3,195,4594,6,27
80,the_sodom_and_gomorrah_show.mp3,319,7496,2,69
81,the_times_they_are_a-changin.mp3,328,12854,11,19
82,the_traveller.mp3,206,5677,6,1
83,the_woods.mp3,220,8959,2,70
84,til_we_outnumber_em_(this_land_is_you_land).mp3,157,4929,19,33
85,turn_turn_turn_(to_everything_there_is_a_season).mp3,160,5025,6,71
86,turn_turn_turn.mp3,221,3463,2,72
87,turn_turn_turn.mp3,221,3463,2,73
88,unchain_my_heart_[90s_version].mp3,306,11972,1,74
89,waiting_for_you.mp3,204,6488,11,54
90,we_can_let_it_happen_tonight.mp3,250,9784,6,75
91,when_girls_collide.mp3,300,11870,3,76
92,when_you_come_back_home.mp3,217,3408,1,77
93,you_probably_couldnt_see_for_the_lights_but_you_were_staring_straight_at_me.mp3,142,5771,4,78
94,you_were_mine.mp3,217,3409,5,79
95,youre_just_a_country_boy.mp3,208,3258,1,57
96,zombie.mp3,252,9874,1,80
